Date/Time,Property,Amb. To Zone 1,Amb. To Zone 3,Amb. To Zone 4 ,Amb. To Zone 2,Zone 3 to Zone 5,Zone 4 to Zone 5,Zone 1 to Zone 6,Zone 5 to Zone 6,Zone 2 to Zone 6,Ward LHS to Zone 6a (22),Zone 6a to Zone 6b(23),Zone 6b to Zone 6c (24),Zone 6c to Ward RHS (25),Zone 7 to Zone 6,Zone 8 to Zone 6,Zone 9 to Zone 6,Zone 10 to Zone 6,Amb. To Zone 7,Amb. To Zone 8,Amb. To Zone 9,Amb. To Zone 10
04/01/2022 08:00,Flow 1 [m^3/min],0.104,0.052,0.105,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:00,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:01,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:01,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:02,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:02,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:03,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:03,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:04,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:04,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:05,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:05,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:06,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:06,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:07,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:07,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:08,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:08,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:09,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:09,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:10,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:10,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:11,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:11,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:12,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:12,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:13,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:13,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:14,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:14,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:15,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:15,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:16,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:16,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
04/01/2022 08:17,Flow 1 [m^3/min],0.104,0.052,0.052,0.104,0.026,0.026,0.052,0.052,0.052,0.589,0.347,0.355,0.727,-0.022,-0.022,-0.022,-0.022,-0.044,-0.044,-0.044,-0.044
04/01/2022 08:17,Flow 2 [m^3/min],0,0,0,0,0.026,0.026,0.052,0.052,0.052,0,0.347,0.355,0,-0.022,-0.022,-0.022,-0.022,0,0,0,0
